Character,Type,Content
Narration,Narrative,Andy's hand pulls on the ring in the center of Woody's back.
Narration,Narrative,
Narration,Narrative,Reach for the sky.
Narration,Narrative,
Narration,Narrative,"Oh, no!  Sheriff Woody!!"
Narration,Narrative,
Narration,Narrative,"I'm here to stop you, One-Eyed Bart."
Narration,Narrative,
Narration,Narrative,Andy's hand pulls out one of Mr. Potato Head's eyes.
Narration,Narrative,
Narration,Narrative,Doooooh!  How'd you know it was me!
Narration,Narrative,
Narration,Narrative,Are you gonna come quietly?
Narration,Narrative,
Narration,Narrative,You can't touch me Sheriff!  I
Narration,Narrative,brought my attack dog with a built-
Narration,Narrative,in force field!
Narration,Narrative,
Narration,Narrative,"Andy places a TOY DOG, with a SLINKY for a mid-section, in"
Narration,Narrative,front of Mr. Potato Head and stretches him out.
Narration,Narrative,
Narration,Narrative,"Well I brought my DINOSAUR, who"
Narration,Narrative,eats force field dogs!!
Narration,Narrative,
Narration,Narrative,"Andy reveals a PLASTIC TYRANNOSAURUS REX, who stomps on the"
Narration,Narrative,Slinky Dog.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"You're goin' to jail, Bart."
Narration,Narrative,
Narration,Narrative,Andy picks up Mr. Potato Head and places him in a baby crib
Narration,Narrative,in the room.
Narration,Narrative,
Narration,Narrative,"A cardboard sign is taped to the bars with the word ""JAIL"""
Narration,Narrative,written in crayon.
Narration,Narrative,
Narration,Narrative,Say good-bye to the wife and
Narration,Narrative,tatertots.
Narration,Narrative,
Narration,Narrative,"Andy's 1-year-old sister, MOLLY, crawls over and picks up Mr."
Narration,Narrative,Potato Head.  She sucks on him for a beat then proceeds to
Narration,Narrative,"pound the toy repeatedly against the rail of her crib,"
Narration,Narrative,forcing some of his parts loose.
Narration,Narrative,
Narration,Narrative,"Andy, wearing a cowboy hat himself, picks up Woody off the"
Narration,Narrative,floor.
Narration,Narrative,
Narration,Narrative,(pulling Woody's string)
Narration,Narrative,"You saved the day again, Woody."
Narration,Narrative,
Narration,Narrative,You're my favorite deputy.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"SONG ""YOU'VE GOT A FRIEND IN ME"" plays while Andy does"
Narration,Narrative,various activities with Woody:
Narration,Narrative,
Narration,Narrative,-- Andy turns the Western town boxes around to reveal cows
Narration,Narrative,drawn on the other side.  He grabs a jump rope and pretends
Narration,Narrative,Woody is lassoing the cattle.
Narration,Narrative,
Narration,Narrative,"C'mon, let's wrangle up the cattle."
Narration,Narrative,
Narration,Narrative,-- Andy then rides Woody around on an RC (remote control)
Narration,Narrative,"car, and herds the remaining ""cow"" boxes under Molly's crib."
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,-- Andy places Woody on the top of the stairwell banister
Narration,Narrative,allowing the doll to slide downstairs.  Andy races ahead and
Narration,Narrative,catches him at the bottom.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,-- Andy & Woody fall into the La-Z-Boy chair and spin around
Narration,Narrative,and around.
Narration,Narrative,
Narration,Narrative,"Next, Andy uses the La-Z-Boy foot rest as a catapult."
Narration,Narrative,
Narration,Narrative,Andy flings Woody across the room to the sofa.
Narration,Narrative,
Narration,Narrative,(raising his arms)
Narration,Narrative,Score!
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Woody lies limp on the sofa while Andy is heard talking to
Narration,Narrative,his mother.
Narration,Narrative,
Narration,Narrative,Wow!  Cool!
Narration,Narrative,
Narration,Narrative,Whadda ya think?
Narration,Narrative,
Narration,Narrative,"Oh, this looks GREAT, Mom!"
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"MRS. DAVIS, Andy's thirty eight-year-old mom, has just"
Narration,Narrative,finished decorating the area with streamers and balloons.  A
Narration,Narrative,"banner is draped across the archway.  It reads: ""Happy"
Narration,Narrative,"Birthday Andy."""
Narration,Narrative,
Narration,Narrative,Woody's frozen face stares in the direction of the birthday
Narration,Narrative,decorations.
Narration,Narrative,
Narration,Narrative,Can we leave this up 'til we move?
Narration,Narrative,
Narration,Narrative,"Well, sure, we can leave it up."
Narration,Narrative,
Narration,Narrative,Yeah!
Narration,Narrative,
Narration,Narrative,Now go get Molly.  Your friends are
Narration,Narrative,going to be here any minute.
Narration,Narrative,
Narration,Narrative,Okay.
Narration,Narrative,
Narration,Narrative,Andy picks up Woody from the couch and runs upstairs.
Narration,Narrative,
Narration,Narrative,"It's party time, Woody!"
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Andy and Woody enter the room.  Molly is still banging
Narration,Narrative,Potato Head against her crib railing.  Andy tips Woody's hat
Narration,Narrative,at her.
Narration,Narrative,
Narration,Narrative,"Howdy, Little Lady!"
Narration,Narrative,
Narration,Narrative,He deposits Woody on the bed and pulls his string one last
Narration,Narrative,time.
Narration,Narrative,
Narration,Narrative,Somebody's poisoned the waterhole.
Narration,Narrative,
Narration,Narrative,(picking up Molly)
Narration,Narrative,"C'mon, Molly.  Oh, you're getting"
Narration,Narrative,heavy!
Narration,Narrative,(to Woody)
Narration,Narrative,"See ya later, Woody."
Narration,Narrative,
Narration,Narrative,Andy exits.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"Woody's eyes come to life.  The cowboy doll sits up, his"
Narration,Narrative,expression changing from a smile to worry.
Narration,Narrative,
Narration,Narrative,(to himself)
Narration,Narrative,Pull my string!  The birthday
Narration,Narrative,party's today?!
Narration,Narrative,
Narration,Narrative,Woody thinks.
Narration,Narrative,
Narration,Narrative,(to the room)
Narration,Narrative,"Okay, everybody.  Coast is clear."
Narration,Narrative,
Narration,Narrative,"The bedroom comes alive.  TOYS emerge from the toy box, the"
Narration,Narrative,"closet, the shelves, etc... in a flurry of activity."
Narration,Narrative,
Narration,Narrative,"POTATO HEAD, his body parts strewn across the floor, sits"
Narration,Narrative,himself upright and begins to re-assemble himself.
Narration,Narrative,
Narration,Narrative,Ages three and up.  It's on my box.
Narration,Narrative,Ages three and up!  I'm not
Narration,Narrative,supposed to be babysitting Princess
Narration,Narrative,Drool.
Narration,Narrative,
Narration,Narrative,"HAMM, the piggy bank, flips one last penny into his coin"
Narration,Narrative,slot.  Potato Head walks up to him.  All his facial pieces
Narration,Narrative,are in the wrong slots.
Narration,Narrative,
Narration,Narrative,"Hey, Hamm!  Look!  I'm Picasso!"
Narration,Narrative,I don't get it.
Narration,Narrative,
Narration,Narrative,Hamm walks away.
Narration,Narrative,
Narration,Narrative,You uncultured swine!
Narration,Narrative,(to someone O.S.)
Narration,Narrative,"What are you looking at, ya hockey"
Narration,Narrative,puck?!
Narration,Narrative,
Narration,Narrative,"Potato Head walks past, revealing a hockey puck figurine."
Narration,Narrative,
Narration,Narrative,Woody sits on the edge of the bed observing all the activity.
Narration,Narrative,"He turns to a plastic green army man, SARGENT, standing on"
Narration,Narrative,the night stand.
Narration,Narrative,
Narration,Narrative,"Uh, hey Sarge, have you seen Slinky?"
Narration,Narrative,
Narration,Narrative,(saluting)
Narration,Narrative,Sir!  No Sir!
Narration,Narrative,
Narration,Narrative,"Okay, thank you.  At ease."
Narration,Narrative,
Narration,Narrative,Woody hops off the bed.
Narration,Narrative,
Narration,Narrative,"Hey, Slinky?"
Narration,Narrative,
Narration,Narrative,"Right here, Woody!"
Narration,Narrative,
Narration,Narrative,"A toy Slinky dog, SLINKY, appears from under the bed pushing"
Narration,Narrative,out a checker board set.  He begins to place the checkers on
Narration,Narrative,the board.
Narration,Narrative,
Narration,Narrative,I'm red this time.
Narration,Narrative,
Narration,Narrative,"No, Slink --"
Narration,Narrative,
Narration,Narrative,"Oh...well alright, you can be red"
Narration,Narrative,if you want.
Narration,Narrative,
Narration,Narrative,"Not now, Slink.  I've got some bad"
Narration,Narrative,news.
Narration,Narrative,
Narration,Narrative,Bad news?!
Narration,Narrative,
Narration,Narrative,Sh-h-h-h-h!!
Narration,Narrative,
Narration,Narrative,"Woody covers up Slinky's mouth, aware that the other toys in"
Narration,Narrative,the room are watching.  He leans in close to Slinky.
Narration,Narrative,
Narration,Narrative,(whispering)
Narration,Narrative,Just gather everyone up for a staff
Narration,Narrative,meeting and be happy!!
Narration,Narrative,
Narration,Narrative,Got it.
Narration,Narrative,
Narration,Narrative,Slinky shuffles off.
Narration,Narrative,
Narration,Narrative,Be HAPPY!
Narration,Narrative,
Narration,Narrative,Slinky perks up his gait and LAUGHS HARD.
Narration,Narrative,
Narration,Narrative,Woody proceeds in the other direction.  He passes a toy
Narration,Narrative,ROBOT and SNAKE partially hidden under the bedspread.
Narration,Narrative,
Narration,Narrative,(to the room)
Narration,Narrative,"Staff meeting, everybody."
Narration,Narrative,(aside)
Narration,Narrative,"Snake, Robot -- podium duty."
Narration,Narrative,
Narration,Narrative,Robot and Snake come out from under the bed and reluctantly
Narration,Narrative,follow Woody.
Narration,Narrative,
Narration,Narrative,"Woody walks past an Etch-A-Sketch, ETCH, going the other"
Narration,Narrative,direction.
Narration,Narrative,
Narration,Narrative,Hey Etch!  Draw!
Narration,Narrative,
Narration,Narrative,Both Etch and Woody whip around like gunfighters.
Narration,Narrative,
Narration,Narrative,"Before Woody can fully extend his arm out, the Etch-A-Sketch"
Narration,Narrative,etches a gun on its screen.
Narration,Narrative,
Narration,Narrative,(pretending to be shot)
Narration,Narrative,"Oh!! You got me again, Etch! You've"
Narration,Narrative,been working on that draw.  Fastest
Narration,Narrative,knobs in the west.
Narration,Narrative,
Narration,Narrative,Slinky passes a group of toys on the floor.
Narration,Narrative,
Narration,Narrative,"Got a staff meeting, you guys, come"
Narration,Narrative,"on, let's go!"
Narration,Narrative,
Narration,Narrative,Robot and Snake begin constructing a podium made out of
Narration,Narrative,Legos and a Tinker Toy tub while Woody searches the floor.
Narration,Narrative,
Narration,Narrative,"Now where is that -- ?  Aw, hey,"
Narration,Narrative,who moved my doodle pad way over here?
Narration,Narrative,
Narration,Narrative,Woody spots the doodle pad on the floor by the desk and
Narration,Narrative,walks over to it.  As he reaches down to pick it up...
Narration,Narrative,
Narration,Narrative,"REX, the plastic dinosaur, jumps out to scare Woody."
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,(unaffected)
Narration,Narrative,"Oh, how ya doin', Rex?"
Narration,Narrative,
Narration,Narrative,Rex suddenly turns timid.
Narration,Narrative,
Narration,Narrative,Were you scared?  Tell me honestly.
Narration,Narrative,
Narration,Narrative,I was close to being scared that time.
Narration,Narrative,
Narration,Narrative,Woody heads back to the podium.  Rex follows.
Narration,Narrative,
Narration,Narrative,"I'm going for fearsome here, but I"
Narration,Narrative,just don't feel it.  I think I'm
Narration,Narrative,just coming off as annoying.
Narration,Narrative,
Narration,Narrative,A crook suddenly grabs Woody's neck and jerks him towards BO
Narration,Narrative,"PEEP, the porcelain figurine."
Narration,Narrative,
Narration,Narrative,(choking)
Narration,Narrative,"Aach! -- Oh, hi, Bo."
Narration,Narrative,
Narration,Narrative,"I wanted to thank you, Woody, for"
Narration,Narrative,saving my flock.
Narration,Narrative,
Narration,Narrative,(blushing)
Narration,Narrative,"Oh, hey - it was nothing."
Narration,Narrative,
Narration,Narrative,Whadda ya say I get someone else to
Narration,Narrative,watch the sheep tonight?
Narration,Narrative,
Narration,Narrative,(very flustered)
Narration,Narrative,"Heh, heh...oh yeah, uh, I..."
Narration,Narrative,
Narration,Narrative,"Bo saunters back towards her lamp stand, passing a stack of"
Narration,Narrative,ABC blocks.
Narration,Narrative,
Narration,Narrative,"Remember, I'm just a couple of"
Narration,Narrative,blocks away.
Narration,Narrative,
Narration,Narrative,Woody is left lovestruck.
Narration,Narrative,
Narration,Narrative,All the rest of the toys in the room are filing past Slinky.
Narration,Narrative,
Narration,Narrative,"Come on, come on!  Smaller toys up"
Narration,Narrative,front.
Narration,Narrative,
Narration,Narrative,Woody remains lovestruck in the middle of the room.
Narration,Narrative,
Narration,Narrative,"Hey, Woody!  C'mon!"
Narration,Narrative,
Narration,Narrative,Woody snaps out of his trance and rushes over to the podium.
Narration,Narrative,
Narration,Narrative,The toys crowd together as Woody steps up to the podium.
Narration,Narrative,"MIKE, a toy tape recorder, waddles up next to Woody and"
Narration,Narrative,indicates his microphone.
Narration,Narrative,
Narration,Narrative,Ahem!
Narration,Narrative,
Narration,Narrative,(grabbing microphone)
Narration,Narrative,"Oh, thanks, Mike."
Narration,Narrative,(to the crowd)
Narration,Narrative,Okay --
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,(to Mike)
Narration,Narrative,"Oh, whoa, step back --"
Narration,Narrative,
Narration,Narrative,Mike waddles back a step to stop the feedback.
Narration,Narrative,
Narration,Narrative,Hello?  Check?  Better?  Great.
Narration,Narrative,Everybody hear me?  Up on the
Narration,Narrative,"shelf, can you hear me?  Great!"
Narration,Narrative,"Okay, first item today...oh, yeah."
Narration,Narrative,Has everyone picked a moving buddy?
Narration,Narrative,
Narration,Narrative,The toys all MOAN.
Narration,Narrative,
Narration,Narrative,Moving buddy?!  You can't be serious!
Narration,Narrative,
Narration,Narrative,Well I didn't know we were supposed
Narration,Narrative,to have one already.
Narration,Narrative,
Narration,Narrative,(waving his arm out
Narration,Narrative,its socket)
Narration,Narrative,Do we have to hold hands?
Narration,Narrative,
Narration,Narrative,The toys LAUGH and SNICKER.
Narration,Narrative,
Narration,Narrative,"Oh, yeah, you guys think this is a"
Narration,Narrative,big joke.  We've only got one week
Narration,Narrative,left before the move.  I don't want
Narration,Narrative,any toys left behind.  A moving
Narration,Narrative,"buddy -- if you don't have one, get"
Narration,Narrative,one!
Narration,Narrative,(checking the pad)
Narration,Narrative,"Alright, next...uh...oh, yes."
Narration,Narrative,"Tuesday night's ""Plastic Corrosion"
Narration,Narrative,"Awareness"" meeting was, I think, a"
Narration,Narrative,big success and we want to thank Mr.
Narration,Narrative,Spell for putting that on for us.
Narration,Narrative,"Thank you, Mr. Spell."
Narration,Narrative,
Narration,Narrative,"The words ""You're welcome"" scroll across Mr. Spell's display"
Narration,Narrative,screen as he speaks.
Narration,Narrative,
Narration,Narrative,You're welcome.
Narration,Narrative,
Narration,Narrative,"Ok, uh...oh yes.  One minor note"
Narration,Narrative,here...
Narration,Narrative,(under his breath)
Narration,Narrative,Andy's birthday party's been moved
Narration,Narrative,to today.
Narration,Narrative,(full voice)
Narration,Narrative,Next we have --
Narration,Narrative,
Narration,Narrative,The toys all PANIC.
Narration,Narrative,
Narration,Narrative,"What?!  Whadda ya mean, the party's"
Narration,Narrative,today?!  His birthday's not 'til
Narration,Narrative,next week!!
Narration,Narrative,
Narration,Narrative,What's going on down there?  Is Mom
Narration,Narrative,losing her marbles?!
Narration,Narrative,
Narration,Narrative,"Well, obviously she wanted to have"
Narration,Narrative,the party before the move.  I'm not
Narration,Narrative,worried.  You shouldn't be worried.
Narration,Narrative,
Narration,Narrative,Of course Woody ain't worried!
Narration,Narrative,He's been Andy's favorite since
Narration,Narrative,kindergarten!
Narration,Narrative,
Narration,Narrative,"Hey, hey!  Come on, Potato Head!"
Narration,Narrative,"If Woody says it's all right, then,"
Narration,Narrative,"well, darnit, it's good enough for"
Narration,Narrative,me.  Woody has never steered us
Narration,Narrative,wrong before.
Narration,Narrative,
Narration,Narrative,"While Slinky speaks, Potato Head takes off his mouth and"
Narration,Narrative,mimes kissing his own butt.
Narration,Narrative,
Narration,Narrative,"C'mon, guys!  Every Christmas and"
Narration,Narrative,birthday we go through this.
Narration,Narrative,
Narration,Narrative,But what if Andy gets another
Narration,Narrative,dinosaur?  A mean one?  I just
Narration,Narrative,don't think I can take that kind of
Narration,Narrative,rejection.
Narration,Narrative,
Narration,Narrative,"Hey, listen, no one's getting"
Narration,Narrative,replaced.  This is Andy we're
Narration,Narrative,talking about.
Narration,Narrative,
Narration,Narrative,Woody steps down from the podium and walks towards the crowd.
Narration,Narrative,
Narration,Narrative,(continued)
Narration,Narrative,It doesn't matter how much we're
Narration,Narrative,played with.  What matters is that
Narration,Narrative,we're here for Andy when he needs
Narration,Narrative,us.  That's what we're made for.
Narration,Narrative,Right?
Narration,Narrative,"Everyone is now looking down, sheepish."
Narration,Narrative,
Narration,Narrative,Pardon me.  I hate to break up the
Narration,Narrative,"staff meeting, but THEY'RE HERE!"
Narration,Narrative,Birthday guests at three o'clock!
Narration,Narrative,
Narration,Narrative,"Stay calm, everyone!!"
Narration,Narrative,
Narration,Narrative,Too late.  The toys PANIC and stampede over Woody towards
Narration,Narrative,"the bedroom window, leaving him alone on the floor."
Narration,Narrative,
Narration,Narrative,"Uh, meeting adjourned."
Narration,Narrative,
Narration,Narrative,"The toys all crowd around the bedroom window, trying to get"
Narration,Narrative,a peek outside.
Narration,Narrative,
Narration,Narrative,"Oh, boy.  Will ya take a look at"
Narration,Narrative,all those presents?!
Narration,Narrative,
Narration,Narrative,I can't see a thing!
Narration,Narrative,
Narration,Narrative,"Unable to see over the crowd, Potato Head pulls his eyes out"
Narration,Narrative,of his head and holds them up over the other toys.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,CHILDREN file towards the front door carrying presents.
Narration,Narrative,
Narration,Narrative,"Yessir, we're next month's garage"
Narration,Narrative,sale fodder for sure.
Narration,Narrative,
Narration,Narrative,(panicked)
Narration,Narrative,Any dinosaur-shaped ones?
Narration,Narrative,
Narration,Narrative,"Ah, for crying out loud, they're"
Narration,Narrative,"all in boxes, you idiot!"
Narration,Narrative,
Narration,Narrative,The presents keep coming.
Narration,Narrative,
Narration,Narrative,They're getting bigger.
Narration,Narrative,
Narration,Narrative,Wait!  There's a nice little one
Narration,Narrative,over there!
Narration,Narrative,
Narration,Narrative,"At first, the kid's present appears to be a little box, but"
Narration,Narrative,then the kid turns -- the present is four feet long.  The
Narration,Narrative,toys SCREAM.
Narration,Narrative,
Narration,Narrative,"Spell the word ""trashcan."""
Narration,Narrative,
Narration,Narrative,We're doomed!
Narration,Narrative,
Narration,Narrative,"Down on the floor, Woody smacks his hand to his forehead in"
Narration,Narrative,surrender.
Narration,Narrative,
Narration,Narrative,Alright!  Alright!
Narration,Narrative,
Narration,Narrative,The toys turn inside and look down at Woody.
Narration,Narrative,
Narration,Narrative,(continued)
Narration,Narrative,"If I send out the troops, will you"
Narration,Narrative,all calm down?
Narration,Narrative,
Narration,Narrative,Yes!  Yes!  We promise!
Narration,Narrative,
Narration,Narrative,"Okay, save your batteries!"
Narration,Narrative,
Narration,Narrative,"Eh, very good, Woody.  That's using"
Narration,Narrative,the old noodle.
Narration,Narrative,
Narration,Narrative,Woody jumps up onto Andy's bed and turns to the Sargent on
Narration,Narrative,the nightstand.
Narration,Narrative,
Narration,Narrative,Sargent.  Establish a recon post
Narration,Narrative,downstairs.  Code red.  You know
Narration,Narrative,what to do.
Narration,Narrative,
Narration,Narrative,Yes SIR!
Narration,Narrative,
Narration,Narrative,"The green army man hops down to the floor where a ""BUCKET O'"
Narration,Narrative,"SOLDIERS"" sits."
Narration,Narrative,
Narration,Narrative,"Alright men, you heard him.  Code"
Narration,Narrative,Red!  Repeat: We are at Code Red!
Narration,Narrative,Recon plan Charlie.  Execute!
Narration,Narrative,Let's move move move!!
Narration,Narrative,
Narration,Narrative,THE GREEN ARMY MEN file out of the bucket and march in
Narration,Narrative,formation across the bedroom floor.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Andy's door creaks open and a lone army man ventures forth
Narration,Narrative,"to make sure the coast is clear.  Satisfied, he motions for"
Narration,Narrative,the others to proceed.  Squads of soldiers march into the
Narration,Narrative,hall carrying a baby monitor and a jump rope.
Narration,Narrative,
Narration,Narrative,The army men each leapfrog behind the stairway banisters and
Narration,Narrative,hold their positions while the Sargent surveys the scene
Narration,Narrative,below through his binoculars.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"Directly below, Mrs. Davis passes through the hallway"
Narration,Narrative,rounding up Andy and all his birthday guests.
Narration,Narrative,
Narration,Narrative,"Okay, c'mon kids!  Everyone in the"
Narration,Narrative,living room.  It's almost time for
Narration,Narrative,the presents.
Narration,Narrative,
Narration,Narrative,"Once Mrs. Davis and the children are out of sight, the"
Narration,Narrative,Sargent motions to his men with a silent hand signal.
Narration,Narrative,
Narration,Narrative,"TWO PARATROOPERS jump out through the railing, parachuting"
Narration,Narrative,down to the floor below.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"The paratroopers sweep the area with their plastic rifles,"
Narration,Narrative,"then give the ""all clear"" sign."
Narration,Narrative,
Narration,Narrative,"The jump rope is lowered, and more soldiers rappel down."
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,The toys race towards the nightstand where Woody has placed
Narration,Narrative,the receiving half of the baby monitor.
Narration,Narrative,
Narration,Narrative,And this --
Narration,Narrative,(turning on the baby monitor)
Narration,Narrative,-- is how we find out what is in
Narration,Narrative,those presents.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,The green army men march in formation across the floor when
Narration,Narrative,suddenly...
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Can be heard approaching from behind the connecting kitchen
Narration,Narrative,door.  Immediately the Sargent signals for his men to freeze
Narration,Narrative,in their various classic action poses.
Narration,Narrative,
Narration,Narrative,"Okay, who's hungry?  Here come the"
Narration,Narrative,chips.  I've got Cool Ranch and
Narration,Narrative,Barbeque --
Narration,Narrative,
Narration,Narrative,The door opens and Mrs. Davis' foot comes down hard on top
Narration,Narrative,of a soldier.
Narration,Narrative,
Narration,Narrative,"Owww!  What in the world -- ?  Oh,"
Narration,Narrative,I thought I told him to pick these up.
Narration,Narrative,
Narration,Narrative,"With a sweep of her foot, she brushes the army men out of"
Narration,Narrative,her path and continues on to the living room.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Shouldn't they be there by now?
Narration,Narrative,What's taking them so long?!
Narration,Narrative,
Narration,Narrative,"Hey, these guys are professionals."
Narration,Narrative,"They're the best.  C'mon, they're"
Narration,Narrative,not lying down on the job.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"As soon as Mom is gone, the Sargent motions for his men to"
Narration,Narrative,proceed toward a nearby houseplant that looks into the
Narration,Narrative,living room.
Narration,Narrative,
Narration,Narrative,The Sargent then notices an injured soldier struggling to
Narration,Narrative,drag himself forward -- a casualty of Mrs. Davis' foot.  The
Narration,Narrative,Sargent helps the injured soldier to his feet.
Narration,Narrative,
Narration,Narrative,(moans)
Narration,Narrative,Go on without me.  Just go!
Narration,Narrative,
Narration,Narrative,A good soldier never leaves a man
Narration,Narrative,behind.
Narration,Narrative,
Narration,Narrative,The Sargent motions to the remaining men above.  They lower
Narration,Narrative,"themselves via jump rope, riding the baby monitor.  Once"
Narration,Narrative,"downstairs, they hustle the baby monitor towards the"
Narration,Narrative,houseplant.  Suddenly...
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"bounces into the hallway, followed by the sound of footsteps"
Narration,Narrative,and kid clamor.
Narration,Narrative,
Narration,Narrative,"The Sargent, supporting his wounded man, reaches the plant,"
Narration,Narrative,right on the heels of the squad with the baby monitor.  They
Narration,Narrative,conceal themselves in the house plant just before the
Narration,Narrative,children run by.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"While the baby monitor is set in place, A MEDIC evaluates"
Narration,Narrative,"the wounded soldier and gives the ""thumb's up"" signal."
Narration,Narrative,
Narration,Narrative,The Sargent scans the party with his binoculars.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,The pile of brightly wrapped gifts sits atop the living room
Narration,Narrative,coffee table.
Narration,Narrative,
Narration,Narrative,There they are.
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,The toys perk up as STATIC suddenly emits from the baby
Narration,Narrative,monitor.
Narration,Narrative,
Narration,Narrative,(over monitor)
Narration,Narrative,"Come in, Mother Bird, this is Alpha"
Narration,Narrative,Bravo.
Narration,Narrative,
Narration,Narrative,"This is it!  This is it!  Quiet,"
Narration,Narrative,"quiet, quiet!"
Narration,Narrative,
Narration,Narrative,(over monitor)
Narration,Narrative,"Come in, Mother Bird."
Narration,Narrative,Alright...Andy's opening the first
Narration,Narrative,present now.
Narration,Narrative,
Narration,Narrative,(chanting)
Narration,Narrative,Mrs. Potato Head...Mrs. Potato
Narration,Narrative,Head...Mrs. Potato Head...
Narration,Narrative,(off Rex's look)
Narration,Narrative,"Hey, I can dream, can't I?"
Narration,Narrative,
Narration,Narrative,(over monitor)
Narration,Narrative,The bow's coming off...he's ripping
Narration,Narrative,the wrapping paper...it's
